variable,unit,test,control,diff
LANDFRAC,fraction,0.292,0.292,0
OCNFRAC,fraction,0.665,0.664,0.001
SST,K,292.93,292.099,0.831
TS,K,288.186,287.351,0.835
SWCF,W/m2,-48.456,-47.473,-0.983
LWCF,W/m2,25.663,24.61,1.053
PRECT,m/s,3.39e-08,3.49e-08,-1e-09
TAUX,N/m2,-0.00699,-0.00605,-0.00094
TAUY,N/m2,-0.00107,-0.00189,0.00082
TGCLDLWP,kg/m2,0.0539,0.0515,0.0024
PSL,Pa,101114.563,101101.229,13.334
TREFHT,K,287.123,286.517,0.606
